Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Agustín Ramírez","MIA",16,66,3,6,7,0,0.106060606,0.212121212,0.254237288,0.261904761,0.237288135,0.318181818,0.491525423,0.3503373409762527,,122.254511274853,-0.6329106986522675,1.068362114827925,-1.615463073598221,0.1683904799811493,"Agustin Ramirez",26546,682663
"Nick Allen","ATL",18,63,0,4,4,1,0.095238095,0.174603174,0.018518518,0.272727272,0.222222222,0.295081967,0.24074074,0.24931169435626171,,54.34591326280448,-0.5495961192063987,-3.8810374866155364,3.277633611112833,0.1522613056408737,"Nick Allen",22277,669397
"Mike Yastrzemski","SFG",16,63,0,9,2,3,0.126984126,0.253968253,0.036363637,0.384615384,0.272727272,0.365079365,0.309090909,0.3055803025922468,,96.17758933552774,0.802463760599494,0.5235372083249545,-1.1441891379654408,0.15046043999208342,"Mike Yastrzemski",14854,573262
"Dylan Crews","WSN",16,61,3,7,9,4,0.114754098,0.262295081,0.196078431,0.1875,0.176470588,0.311475409,0.372549019,0.3109451131742509,,98.23615266558734,0.06498468574136496,-0.059639631852648894,-0.5238260142505169,0.1475093193614704,"Dylan Crews",33541,686611
"Jesús Sánchez","MIA",15,61,1,6,8,4,0.098360655,0.163934426,0.094339623,0.302325581,0.264150943,0.344262295,0.358490566,0.31534681847838103,,98.2326294977844,0.21067854389548302,0.08580529751117971,-0.7467733237426728,0.1394173124047636,"Jesus Sanchez",19913,660821
"Bryson Stott","PHI",15,65,2,8,9,2,0.046153846,0.184615384,0.114754099,0.255319148,0.229508196,0.265625,0.344262295,0.26991589181125164,,69.10259241326243,0.6004312885925174,-1.7257703844169279,0.807019179686904,0.12616969089895577,"Bryson Stott",26294,681082
"Lars Nootbaar","STL",17,81,2,10,7,1,0.074074074,0.172839506,0.150684931,0.27118644,0.246575342,0.296296296,0.397260273,0.3014970510094254,,92.86850933189092,-0.2825432235840708,-0.9516220743469996,-0.5579347060993314,0.11915366734089104,"Lars Nootbaar",21454,663457
"J.T. Realmuto","PHI",14,59,2,7,8,0,0.118644067,0.186440677,0.173076923,0.23076923,0.211538461,0.305084745,0.384615384,0.30743000365919987,,94.85698232950205,-0.6702841236256063,-1.0217490509387077,0.17304490320384502,0.11298209150142571,"J.T. Realmuto",11739,592663
"Eli White","ATL",18,72,0,8,6,3,0.041666666,0.236111111,0.089552239,0.36,0.268656716,0.309859154,0.358208955,0.2900261870452336,,82.29744585415966,0.3196929614059627,-1.1566266637223406,-0.1209593266248703,0.11262189150496602,"Eli White",19346,642201
"Michael Busch","CHC",16,60,2,8,9,1,0.116666666,0.266666666,0.176470588,0.272727272,0.215686274,0.333333333,0.392156862,0.3264868587255478,,111.11668154790276,-0.27403886476531625,0.4985320968533733,-1.4830449442379177,0.10221920045256809,"Michael Busch",26319,683737
"Taylor Walls","TBR",15,55,0,6,4,3,0.109090909,0.163636363,0.042553191,0.275,0.234042553,0.309090909,0.276595744,0.2672068953514099,,72.15028545367734,-0.28962446708464995,-2.0329023868563545,1.143649802543223,0.09624984827991728,"Taylor Walls",22458,670764
